Year	iYear	iGDP	iL	iK	iQ	iX	iU	Country
1928	28	2.543046358	1.402980505	2.163022891	2.460101273	2.477074546	2.849602582	US
1929	29	2.698675497	1.430244022	2.236420228	2.560550615	2.579511948	2.963393552	US
1930	30	2.458609272	1.302590771	2.280898338	2.447319068	2.460827045	2.700458396	US
1931	31	2.26986755	1.17146239	2.293751327	2.155586027	2.161362044	2.348719598	US
1932	32	1.970198675	1.020204297	2.275993907	1.949333836	1.949132504	2.037297671	US
1933	33	1.928807947	1.015250388	2.248934981	2.002986929	2.003752704	2.111241111	US
1934	34	2.07781457	0.976696423	2.241324658	2.091964407	2.094511299	2.288841951	US
1935	35	2.236754967	1.068086809	2.249611454	2.182907089	2.186662283	2.478114258	US
1936	36	2.554635762	1.207538139	2.287324832	2.380602022	2.388566676	2.802898954	US
1937	37	2.663907285	1.24525233	2.330449996	2.495646915	2.505450864	3.032873499	US
1938	38	2.55794702	1.100456056	2.356325094	2.264876446	2.267118674	2.795291696	US
1939	39	2.761589404	1.207505787	2.400295848	2.415917138	2.421474627	3.137256327	US
1940	40	2.975165563	1.267862357	2.458472539	2.584990043	2.594436746	3.546906105	US
1941	41	3.516556291	1.431516007	2.553855253	2.804535973	2.81917778	4.1860388	US
1942	42	4.220198675	1.622282334	2.701157281	2.916923282	2.934015344	4.506984814	US
1943	43	5.059602649	1.71648728	2.857422578	3.129685608	3.150456936	4.938538745	US
1944	44	5.483443709	1.707973295	2.988658369	3.26685816	3.288547175	5.206338046	US
1945	45	5.263245033	1.609008558	3.043621812	3.226431728	3.245285227	5.140845062	US
1946	46	4.177152318	1.559222269	3.053599791	3.107815686	3.121953725	4.874415059	US
1947	47	4.114238411	1.635573477	3.101967621	3.334056277	3.352136679	5.271721485	US
1948	48	4.26986755	1.645458046	3.172659065	3.425997334	3.442582859	5.515116921	US
1949	49	4.286423841	1.565419872	3.26009322	3.145199736	3.151660634	5.272199947	US
1950	50	4.658941159	1.596855712	3.387101053	3.37237295	3.380247496	5.674770056	US
1951	51	5.013719517	1.628273216	3.52560893	3.410379776	3.420470641	6.188105532	US
1952	52	5.200795117	1.650309157	3.664962399	3.421761353	3.427692934	6.25037829	US
1953	53	5.439915628	1.692485508	3.823087997	3.568388686	3.573682472	6.849196345	US
1954	54	5.404184352	1.646659293	3.964640003	3.501055521	3.500862464	6.649893316	US
1955	55	5.786015568	1.723899887	4.132912699	3.785471116	3.790034994	7.63424435	US
1956	56	5.89906861	1.78595166	4.283766211	3.910665926	3.915178528	7.875234762	US
1957	57	6.009814447	1.776589746	4.430899121	3.933262641	3.934644283	8.146233008	US
1958	58	5.949094317	1.72081298	4.54843633	3.939671899	3.93663062	7.949804223	US
1959	59	6.390608861	1.793787855	4.711128123	4.060246411	4.056769879	8.31695523	US
1960	60	6.5495404	1.811560085	4.862658108	4.197245652	4.193917945	8.6193044	US
1961	61	6.702081526	1.796104255	5.010805727	4.301843203	4.296142505	9.023017922	US
1962	62	7.106357591	1.834282313	5.188379929	4.464417802	4.458787737	9.616249007	US
1963	63	7.413663847	1.847552076	5.382527722	4.603454595	4.5985381	10.26124125	US
1964	64	7.842944765	1.896927867	5.602212377	4.768897532	4.764174099	11.1931165	US
1965	65	8.343358635	1.962709188	5.852000087	4.975372926	4.971839764	12.23190346	US
1966	66	8.889894203	2.031649908	6.116839325	5.193580527	5.191297571	13.15994687	US
1967	67	9.112176278	2.05560367	6.361891723	5.313325378	5.310019272	13.86167989	US
1968	68	9.545879605	2.103166171	6.622672121	5.592374838	5.590325814	14.95848985	US
1969	69	9.844875444	2.146896669	6.880408391	5.810819501	5.808546872	15.73016149	US
1970	70	9.862101081	2.10245489	7.098401863	6.011088422	6.007548475	16.35999737	US
1971	71	10.16996094	2.083041895	7.331277744	6.191913023	6.184517559	17.16097521	US
1972	72	10.70899569	2.155535545	7.604403778	6.544806434	6.5392427	18.42639723	US
1973	73	11.31721459	2.227818007	7.910169641	6.848012045	6.844687955	19.18381518	US
1974	74	11.28554092	2.237446579	8.155560275	6.79750225	6.788252773	18.6269121	US
1975	75	11.25386406	2.15869811	8.345141875	6.799034406	6.785652563	18.47695165	US
1976	76	11.84374692	2.227904384	8.574973627	7.03267678	7.024437449	18.99662821	US
1977	77	12.38027926	2.309619474	8.854526155	7.149953467	7.143938184	19.08277608	US
1978	78	13.08658157	2.427511577	9.179233267	7.284488775	7.275650297	19.47010867	US
1979	79	13.53169933	2.481055129	9.509183045	7.261128191	7.254167674	19.85171764	US
1980	80	13.53781454	2.4625254	9.764720776	7.082064077	7.070444913	19.17347869	US
1981	81	13.87568086	2.479889367	10.01298642	7.101615817	7.086786728	18.92782433	US
1982	82	13.6156131	2.446475949	10.20375185	6.959286609	6.938883866	18.35357265	US
1983	83	14.18604312	2.484106672	10.44812777	6.974480789	6.953482479	18.4293799	US
1984	84	15.21909813	2.62924569	10.79228349	7.101940575	7.084202034	18.94947559	US
1985	85	15.80925939	2.657741713	11.16738785	7.109220365	7.090948528	19.22622544	US
1986	86	16.35357096	2.703387297	11.54570546	7.323806285	7.302983643	19.6081058	US
1987	87	16.92844899	2.769259788	11.90829506	7.427936011	7.408282464	19.93798842	US
1988	88	17.64114171	2.855523886	12.26750231	7.596909319	7.578675432	20.83924206	US
1989	89	18.25130621	2.937972626	12.61453303	7.810294248	7.785763325	21.89968012	US
1990	90	18.5702797	2.948289288	12.93264453	7.854543152	7.824871051	22.26435545	US
1991	91	18.53421882	2.899143888	13.16484394	7.911069608	7.877696418	22.17366768	US
1992	92	19.15252734	2.900824435	13.41615371	7.985708312	7.951793862	23.00586519	US
1993	93	19.66791404	2.969336019	13.71329454	8.157698216	8.12331318	23.29184456	US
1994	94	20.46678935	3.045363705	14.04442815	8.345679261	8.308086294	24.13305835	US
1995	95	20.98612806	3.117402173	14.40769423	8.447621082	8.407771353	24.94045132	US
1996	96	21.77210734	3.159245259	14.82321786	8.638637663	8.602471921	25.50144645	US
1997	97	22.75132863	3.248536971	15.2730725	8.834429914	8.795897038	26.21187717	US
1998	98	23.70126986	3.313966293	15.78059648	9.041733285	9.000362595	26.92999665	US
1999	99	24.75577452	3.382220189	16.33682653	9.163441976	9.121193741	27.69570872	US
2000	100	25.66206446	3.463325161	16.91182871	9.284488532	9.245376063	27.26119896	US
1900	0	1	1	1	1	1	1	UK
1901	1	1	1.002991096	1.02873974	1.008375681	1.008324062	1.019647948	UK
1902	2	1.025516403	1.005982193	1.058756184	1.018653464	1.018546593	1.041697398	UK
1903	3	1.014580802	1.008973289	1.087322458	1.056017488	1.056121974	1.105888522	UK
1904	4	1.020656136	1.011964386	1.113168796	1.052584523	1.052438472	1.139266516	UK
1905	5	1.051032807	1.014955482	1.137356804	1.063933106	1.06372629	1.184787868	UK
1906	6	1.086269745	1.017946579	1.161045233	1.07489702	1.074650504	1.223182551	UK
1907	7	1.106925881	1.020937675	1.182561875	1.086086668	1.085815222	1.26620622	UK
1908	8	1.061968408	1.023928772	1.198173757	1.09874788	1.098429413	1.310540953	UK
1909	9	1.086269745	1.026919868	1.210531428	1.111103635	1.110733126	1.348173026	UK
1910	10	1.120291616	1.029910965	1.222722573	1.122031944	1.121619667	1.377528835	UK
1911	11	1.15309842	1.032902061	1.233643952	1.133277311	1.1328813	1.422957138	UK
1912	12	1.170109356	1.035893158	1.242643334	1.143928561	1.143554372	1.463045511	UK
1913	13	1.215066829	1.038884254	1.25092804	1.189377913	1.189490901	1.526714387	UK
1914	14	1.227217497	1.041875351	1.259268254	1.15673484	1.156276377	1.478597547	UK
1915	15	1.32563791	1.044866447	1.260697608	1.140946175	1.140371913	1.450487215	UK
1916	16	1.354799514	1.047857544	1.25147619	1.152379038	1.151767794	1.468910389	UK
1917	17	1.366950182	1.05084864	1.238834035	1.148423181	1.147304701	1.44681858	UK
1918	18	1.37545565	1.053839737	1.23079912	1.114824611	1.112816449	1.409256301	UK
1919	19	1.22600243	1.056830833	1.233491302	1.073955288	1.071779733	1.370061831	UK
1920	20	1.151883354	1.05982193	1.248804824	1.09810963	1.096033035	1.409245162	UK
1921	21	1.058323208	1.062813026	1.270883494	1.0466659	1.043573612	1.324743153	UK
1922	22	1.113001215	1.065804123	1.293489498	1.027689841	1.024384485	1.352658223	UK
1923	23	1.148238153	1.068795219	1.315700002	1.05561631	1.052965493	1.382502829	UK
1924	24	1.195625759	1.071786316	1.341705928	1.076675837	1.074079427	1.409699933	UK
1925	25	1.253948967	1.074777412	1.375004337	1.02357192	1.020321837	1.367218604	UK
1926	26	1.207776428	1.077768509	1.406484829	0.994618902	0.990722953	1.302835187	UK
1927	27	1.304981774	1.080759605	1.435085796	1.052037706	1.048633527	1.453778994	UK
1928	28	1.320777643	1.083750702	1.489449837	1.010103581	1.006109764	1.411100898	UK
1929	29	1.359659781	1.086741798	1.507566559	1.049823925	1.045953978	1.484741804	UK
1930	30	1.349939247	1.089732895	1.553153253	1.034163981	1.029845594	1.462398865	UK
1931	31	1.280680437	1.092723991	1.598323631	0.989414416	0.984499559	1.40984694	UK
1932	32	1.290400972	1.095715088	1.629131077	0.971193766	0.966179985	1.416951889	UK
1933	33	1.328068044	1.098706184	1.642751577	0.975147949	0.970182418	1.478300339	UK
1934	34	1.415552855	1.101697281	1.657065938	1.033782436	1.029407712	1.63285535	UK
1935	35	1.470230863	1.104688377	1.67993561	1.042905362	1.038724651	1.714795962	UK
1936	36	1.537059538	1.107679474	1.709625939	1.084403585	1.080746645	1.821100109	UK
1937	37	1.590522479	1.11067057	1.753422471	1.11338741	1.11006	1.927235616	UK
1938	38	1.609963548	1.113661667	1.788760833	1.043557184	1.040031361	1.82057526	UK
1939	39	1.625759417	1.116652763	1.825653444	1.042850746	1.03928623	1.81780203	UK
1940	40	1.788578372	1.11964386	1.857286586	1.087211686	1.083393692	1.87571379	UK
1941	41	1.951397327	1.122634956	1.871142998	1.097350008	1.093020701	1.936810832	UK
1942	42	2	1.125626052	1.865800265	1.112823937	1.108088519	1.972354176	UK
1943	43	2.043742406	1.128617149	1.846781524	1.098390198	1.093188795	1.967113931	UK
1944	44	1.963547995	1.131608245	1.816223867	1.101652917	1.096226976	2.018639037	UK
1945	45	1.87727825	1.134599342	1.757217893	1.043041353	1.037414846	1.944191842	UK
1946	46	1.795868773	1.137590438	1.727423484	1.05930493	1.054684395	2.058012438	UK
1947	47	1.769137303	1.140581535	1.76459364	1.106638995	1.102237623	2.129769285	UK
1948	48	1.825030377	1.143572631	1.814482275	1.146312675	1.142214839	2.33326678	UK
1949	49	1.893074119	1.146563728	1.869866293	1.150318581	1.145595056	2.342705359	UK
1950	50	1.881688005	1.146563728	1.934117859	1.180737461	1.175543835	2.474608043	UK
1951	51	1.937860057	1.196637943	2.003545632	1.246867872	1.241598495	2.640763029	UK
1952	52	1.934349304	1.194621015	2.067672303	1.249061869	1.243584941	2.689315781	UK
1953	53	2.010412018	1.205022332	2.134962982	1.25547766	1.249750499	2.76673891	UK
1954	54	2.09232779	1.220116158	2.215013773	1.291919331	1.28617513	2.938718886	UK
1955	55	2.168390504	1.240948234	2.317177927	1.340451045	1.33479997	3.1512523	UK
1956	56	2.195302673	1.240514087	2.445209234	1.372090079	1.366230818	3.316106166	UK
1957	57	2.230410205	1.241421565	2.596228169	1.370190685	1.364045854	3.333574784	UK
1958	58	2.225731004	1.234886502	2.765683002	1.419298613	1.412357748	3.437162063	UK
1959	59	2.315836731	1.257174973	2.93776757	1.471570427	1.464058735	3.604756695	UK
1960	60	2.449239945	1.265735947	3.114487132	1.553070783	1.545134951	4.055945839	UK
1961	61	2.52998186	1.25295786	3.304299859	1.585025664	1.576629321	4.356491927	UK
1962	62	2.55573099	1.25408587	3.493883612	1.667012023	1.658223271	4.621768679	UK
1963	63	2.654026671	1.260985492	3.672927609	1.722809342	1.713436789	4.952898214	UK
1964	64	2.794451391	1.276628727	3.864183568	1.785878137	1.775694793	5.26509858	UK
1965	65	2.867003352	1.271329126	4.081778506	1.840342056	1.82813655	5.470443979	UK
1966	66	2.922001547	1.260021839	4.317517919	1.873815801	1.860106161	5.583662547	UK
1967	67	2.987532001	1.228894652	4.572012406	1.882284252	1.867498559	5.690005348	UK
1968	68	3.109234507	1.214452207	4.838767425	1.904842555	1.889547548	6.059416422	UK
1969	69	3.165666214	1.222740692	5.097404264	1.964036596	1.947590029	6.28270946	UK
1970	70	3.240365738	1.209644831	5.358823489	2.046624095	2.02881215	6.541073989	UK
1971	71	3.309006644	1.16911787	5.631025319	2.091346302	2.071316923	6.677382815	UK
1972	72	3.426105682	1.158009971	5.895081216	2.11872036	2.095145428	6.823049307	UK
1973	73	3.656490073	1.19055063	6.159213439	2.207283375	2.182712025	7.201299024	UK
1974	74	3.60679858	1.168248588	6.419793091	2.120370295	2.092081469	6.955204721	UK
1975	75	3.60262787	1.136918594	6.657822247	2.033556709	2.005455003	6.705841657	UK
1976	76	3.683494203	1.126581839	6.888482594	2.050551557	2.020753717	7.119752895	UK
1977	77	3.763370601	1.125282754	7.119281715	2.084605578	2.053393946	7.439620519	UK
1978	78	3.897536552	1.125702585	7.341657357	2.1090537	2.077309213	7.546598181	UK
1979	79	4.005017532	1.12244512	7.574586632	2.173603275	2.140620802	8.063346947	UK
1980	80	3.939313974	1.106339361	7.808723226	1.985732873	1.953040929	7.212412639	UK
1981	81	3.887972589	1.052519385	8.01131688	1.872859179	1.840628784	6.785302077	UK
1982	82	3.948169295	1.026552584	8.203398533	1.879192117	1.84583016	6.625599759	UK
1983	83	4.088372226	1.016854928	8.416011546	1.815562867	1.781081448	6.716469418	UK
1984	84	4.190535687	1.041424473	8.654172536	2.043281241	2.005282576	7.673097899	UK
1985	85	4.338403853	1.059721343	8.91338528	1.960899306	1.922192719	7.362807078	UK
1986	86	4.529250346	1.058798966	9.186315665	1.962617802	1.924513065	7.448755802	UK
1987	87	4.744888492	1.083246633	9.480880649	1.964564154	1.925410073	7.843847955	UK
1988	88	4.981271998	1.096815528	9.823030648	2.052838403	2.011149974	8.069508885	UK
1989	89	5.089824055	1.121645707	10.2288008	2.052173039	2.008524925	7.964731603	UK
1990	90	5.109849954	1.120157462	10.66070871	2.068261976	2.024378552	8.174979544	UK
1991	91	5.040101767	1.072344629	11.05598074	2.105033802	2.060182881	8.053521366	UK
1992	92	5.049939088	1.092240726	11.30697701	2.137024682	2.090095433	8.501835833	UK
1993	93	5.167703778	1.072257616	11.89600837	2.181834724	2.130888636	8.609764541	UK
1994	94	5.396428986	1.086954869	12.52105549	2.125729322	2.07303124	9.085458618	UK
1995	95	5.550364142	1.104623487	13.15081214	2.11867594	2.064212442	8.920796177	UK
1996	96	5.706723233	1.11537905	13.76906579	2.24256614	2.182397821	9.456310291	UK
1997	97	5.893749417	1.133966575	14.38763517	2.205788454	2.143238267	9.119595345	UK
1998	98	6.076046853	1.147940785	15.02073077	2.186406309	2.121447143	9.087305405	UK
1999	99	6.249675711	1.167610966	15.64642171	2.242853051	2.176051413	9.113756507	UK
2000	100	6.490889526	1.171907828	16.21288106	2.230017188	2.162814562	9.260682121	UK
1900	0	1	1	1	1	1	1	JP
1901	1	1.024105095	1.007670569	1.023230088	1.032705261	1.033902158	1.025093129	JP
1902	2	1.048210191	1.014129996	1.045722714	1.051520233	1.053120203	1.042587871	JP
1903	3	1.072315286	1.021396851	1.063658871	1.075515372	1.077833447	1.065245738	JP
1904	4	1.096420381	1.027048849	1.082543194	1.111568326	1.115313546	1.093880814	JP
1905	5	1.120525476	1.033508276	1.116993257	1.153232449	1.159051904	1.138274203	JP
1906	6	1.144630572	1.03875656	1.165244416	1.186878804	1.193923812	1.17133858	JP
1907	7	1.168735667	1.044004845	1.222792878	1.225051046	1.233786504	1.203899447	JP
1908	8	1.192840762	1.0484457	1.276074589	1.240466725	1.2492477	1.220062287	JP
1909	9	1.216945858	1.05329027	1.333596713	1.26921583	1.278726916	1.249880999	JP
1910	10	1.241050953	1.056519984	1.388142646	1.277563225	1.28707204	1.258837804	JP
1911	11	1.298901967	1.060153411	1.453408133	1.336954216	1.349435312	1.318120963	JP
1912	12	1.35675298	1.063786839	1.529208807	1.397460554	1.413103227	1.376892337	JP
1913	13	1.414603994	1.066612838	1.60632638	1.451501026	1.469665022	1.433553532	JP
1914	14	1.472455008	1.068631409	1.682680152	1.484175879	1.503936552	1.468998963	JP
1915	15	1.530306022	1.071053694	1.752949853	1.452085682	1.468873097	1.449151664	JP
1916	16	1.588157035	1.072264836	1.825431943	1.523909451	1.544307774	1.537725689	JP
1917	17	1.646008049	1.073475979	1.933443953	1.61553311	1.640886991	1.644200801	JP
1918	18	1.703859063	1.074687122	2.07572166	1.663012209	1.690452971	1.711837467	JP
1919	19	1.761710077	1.074687122	2.25039507	1.744099642	1.776453343	1.803730684	JP
1920	20	1.81956109	1.100524828	2.443663085	1.718759816	1.747255394	1.794985666	JP
1921	21	1.865979194	1.110213969	2.610645807	1.654487848	1.677686604	1.753359123	JP
1922	22	1.912397297	1.119499394	2.755873367	1.707924448	1.733310871	1.822497996	JP
1923	23	1.9588154	1.129188535	2.8679941	1.764451903	1.792058938	1.905316496	JP
1924	24	2.005233503	1.138877675	2.973688369	1.814419499	1.843454491	2.020044006	JP
1925	25	2.051651606	1.130399677	3.094500632	1.872248069	1.903527809	2.119224012	JP
1926	26	2.098069709	1.157852241	3.255609987	1.973087572	2.009375938	2.333890766	JP
1927	27	2.144487812	1.167137667	3.429624947	2.021583429	2.059109178	2.459365274	JP
1928	28	2.190905915	1.176988292	3.604140329	2.065602447	2.103914601	2.59513548	JP
1929	29	2.237324019	1.186112233	3.786346397	2.123863933	2.164428947	2.719653288	JP
1930	30	2.283742122	1.195801373	3.968131058	2.080743134	2.116850059	2.756379403	JP
1931	31	2.458534437	1.17036738	4.102586389	2.013388973	2.046030098	2.747680719	JP
1932	32	2.633326752	1.178037949	4.172961441	2.063400321	2.097553214	2.932118485	JP
1933	33	2.808119068	1.202260799	4.22432048	2.240256485	2.282822935	3.347333949	JP
1934	34	2.982911383	1.243035931	4.308891698	2.379475617	2.426574263	3.674749255	JP
1935	35	3.157703698	1.267662495	4.459966287	2.303653403	2.342345777	3.808156001	JP
1936	36	3.332496013	1.24586193	4.672803413	2.399987688	2.44584128	4.107532709	JP
1937	37	3.507288329	1.257973355	4.919642857	2.538481221	2.590130992	4.485018542	JP
1938	38	3.682080644	1.270488494	5.2162874	2.617776002	2.67282848	4.721743523	JP
1939	39	3.856872959	1.283003633	5.612647493	2.739555768	2.801297034	4.997110984	JP
1940	40	4.031665275	1.311263625	6.060656342	2.901835605	2.969836166	5.358389373	JP
1941	41	NA	1.315300767	6.507769701	2.825782843	2.886696139	5.315581088	JP
1942	42	NA	1.316108195	6.930678466	2.751120259	2.808234033	4.930155784	JP
1943	43	NA	1.332741219	7.368599874	2.714208256	2.767434399	4.84380403	JP
1944	44	NA	1.348227695	7.862331437	2.482132898	2.519233355	4.386979972	JP
1945	45	NA	1.370225273	7.143225874	1.883332104	1.885576987	2.857949137	JP
1946	46	NA	1.390730077	6.286530763	1.977232285	1.9801301	3.314669631	JP
1947	47	2.656465084	1.399273314	6.547961441	2.147824533	2.15799386	3.693135743	JP
1948	48	2.585850037	1.410173597	6.843815845	2.314613626	2.331609257	4.299515418	JP
1949	49	2.515234989	1.458215583	7.105430889	2.3833441	2.400239565	4.673176329	JP
1950	50	2.444619941	1.472749294	7.285924989	2.612039634	2.640907629	5.559058958	JP
1951	51	2.749259625	1.483245862	7.446112516	2.834444364	2.875396978	6.520723878	JP
1952	52	3.067886704	1.516350424	7.646965866	2.851775233	2.8886328	6.854172235	JP
1953	53	3.293932721	1.589018975	7.879372103	3.0415387	3.081009817	7.771129648	JP
1954	54	3.480157947	1.610415826	8.128660978	3.076228356	3.114514231	8.287001523	JP
1955	55	3.779406181	1.662898668	8.380978719	3.314313696	3.36106339	9.645016275	JP
1956	56	4.063588731	1.694388373	8.717103877	3.551245446	3.607028753	10.98209002	JP
1957	57	4.360695573	1.728300363	9.157764433	3.66888391	3.726997049	11.71791262	JP
1958	58	4.614731567	1.735163504	9.653076275	3.732189308	3.791440533	12.32290973	JP
1959	59	5.035613942	1.750100929	9.545353982	4.030140137	4.104217585	13.86806733	JP
1960	60	5.696560103	1.79087606	11.3723662	4.627695166	4.732580122	17.03272706	JP
1961	61	6.382352494	1.815906338	12.78513485	4.808773994	4.916050774	17.83226301	JP
1962	62	6.951811071	1.83932176	14.49009692	5.150142989	5.265966195	18.91620064	JP
1963	63	7.540648493	1.855066613	16.40515697	5.254445152	5.381899659	20.59334269	JP
1964	64	8.420517883	1.879289463	18.55093763	5.97762879	6.137936314	24.02317912	JP
1965	65	8.910987926	1.909568026	20.82732828	6.181423637	6.353964594	25.98360854	JP
1966	66	9.859351507	1.9487283	23.21994838	6.780867654	6.974517326	28.97180446	JP
1967	67	10.95196294	1.986273718	26.21676148	7.620272064	7.857900799	33.50635053	JP
1968	68	12.36212317	2.01937828	29.80565213	8.40399265	8.67929844	38.57052059	JP
1969	69	13.90471562	2.034719419	33.87565845	9.441570874	9.765738422	44.64299712	JP
1970	70	15.39375807	2.056519984	38.61472819	9.942169597	10.28162819	47.07991076	JP
1971	71	16.11709317	2.067420266	43.72511062	10.12023096	10.46606592	48.38107543	JP
1972	72	17.47309591	2.069438837	49.10490413	10.82533407	11.20321079	53.03472778	JP
1973	73	18.87663452	2.083659651	54.97416245	11.40490484	11.8082062	55.27216564	JP
1974	74	18.64539449	2.017298635	60.81576591	11.26392451	11.64601891	54.66012724	JP
1975	75	19.22182398	1.984098379	66.20306574	11.24461987	11.61719483	53.88560107	JP
1976	76	19.98581517	2.029195901	71.45635799	11.5513309	11.92721369	55.49270425	JP
1977	77	20.86325461	2.063032247	76.7736515	11.78765296	12.16986919	55.84087095	JP
1978	78	21.96317108	2.092549547	82.36225242	12.51546782	12.9073807	59.71067368	JP
1979	79	23.16769686	2.124856007	88.47771808	12.88053732	13.27245594	62.32686941	JP
1980	80	23.82044195	2.148246804	94.97806047	13.36549606	13.76952929	66.76142318	JP
1981	81	24.57567013	2.160366565	101.5793826	12.70454183	13.06599177	60.98121312	JP
1982	82	25.32694965	2.182210305	108.0399547	12.49014888	12.82739814	58.77165385	JP
1983	83	25.91510365	2.22567574	114.1489676	13.29616957	13.65923172	63.38141573	JP
1984	84	26.93026046	2.254043803	118.6171513	13.72615803	14.08588705	65.01299584	JP
1985	85	28.11625788	2.256476356	126.7549252	14.04190893	14.39431007	66.79355988	JP
1986	86	28.9303364	2.276243267	133.4804836	14.36906562	14.72411093	67.80141314	JP
1987	87	30.1335257	2.304852609	140.435788	14.77523693	15.14541007	69.56034499	JP
1988	88	32.00030374	2.3398745	148.2943795	15.17701701	15.55421221	71.38052433	JP
1989	89	33.5463285	2.363546086	157.6604772	15.66440726	16.05195917	72.99493572	JP
1990	90	35.2517731	2.371697297	168.3235619	16.21146513	16.60513724	74.98726103	JP
1991	91	36.43295268	2.396175889	179.8265381	16.61795056	17.01514697	76.38677658	JP
1992	92	36.78707252	2.362844024	190.8328048	16.77464272	17.16891197	75.13793469	JP
1993	93	36.87815311	2.325317458	201.3723278	17.13272973	17.5190507	76.48482597	JP
1994	94	37.28330837	2.305055891	211.5172957	17.75121978	18.15860962	78.90743405	JP
1995	95	38.03244677	2.327841059	221.2740618	18.28918526	18.70049273	81.35447902	JP
1996	96	39.33882868	2.327569846	231.3606109	18.57814632	18.98505214	81.71887932	JP
1997	97	40.03565227	2.318225814	241.3326539	18.76905011	19.17461672	83.38847974	JP
1998	98	39.61650818	2.27584157	250.7890044	18.89844831	19.28930324	83.04013584	JP
1999	99	39.56281561	2.219065537	259.9779776	19.30706139	19.72290526	84.23230261	JP
2000	100	40.50650149	2.226775501	269.0738739	19.93972974	20.37716398	87.024767	JP
1900	-50	0.669715742	NA	NA	0.893607447	0.901244178	0.487090744	AT
1901	-49	0.672453	NA	NA	0.908839373	0.917020771	0.495055193	AT
1902	-48	0.698913159	NA	NA	0.924124513	0.932850831	0.503112069	AT
1903	-47	0.705300093	NA	NA	0.936913345	0.946071241	0.509887418	AT
1904	-46	0.716249125	NA	NA	0.952382075	0.962088762	0.518170584	AT
1905	-45	0.756395572	NA	NA	0.967974829	0.978233644	0.526704841	AT
1906	-44	0.785592989	NA	NA	0.984664393	0.99552198	0.535815865	AT
1907	-43	0.83395121	NA	NA	1.001048922	1.012489457	0.544973804	AT
1908	-42	0.837600887	NA	NA	1.016577386	1.028560472	0.555202066	AT
1909	-41	0.834863629	NA	NA	1.033788318	1.046386617	0.564989483	AT
1910	-40	0.84672508	NA	NA	1.048607451	1.061920793	0.574812538	AT
1911	-39	0.873185239	NA	NA	0.470567324	0.45787461	0.263740771	AT
1912	-38	0.916981363	NA	NA	0.475927957	0.463214849	0.264721809	AT
1913	-37	0.912419267	NA	NA	0.479317146	0.466493343	0.264716294	AT
1914	-36	0.761479051	NA	NA	0.475387417	0.462124392	0.260606154	AT
1915	-35	0.706342858	NA	NA	0.480732589	0.467440987	0.261541657	AT
1916	-34	0.697740048	NA	NA	0.502868239	0.488811938	0.262106878	AT
1917	-33	0.682750303	NA	NA	0.497588713	0.483042494	0.25716492	AT
1918	-32	0.668672977	NA	NA	0.506034403	0.490931863	0.340057901	AT
1919	-31	0.564266144	NA	NA	0.507315291	0.49201091	0.33965746	AT
1920	-30	0.605846393	NA	NA	0.72022702	0.714213675	0.470694087	AT
